url_length,has_at_symbol,dot_count,slash_count,dash_count,has_ip,has_https,subdomain_count,has_suspicious_words,has_valid_ssl,label
52,False,2,3,0,0,1,1,0,0,1
47,False,2,3,4,0,1,1,0,1,1
41,False,2,3,2,0,1,1,0,1,1
45,False,2,3,2,0,1,1,0,1,1
42,False,2,3,0,0,1,0,0,1,1
52,True,3,4,0,0,1,0,0,1,1
27,False,1,4,0,0,1,0,0,1,1
29,False,2,2,0,0,0,1,0,1,1
59,False,2,5,0,0,1,1,1,1,1
24,False,1,3,1,0,1,0,0,1,1
25,False,1,4,1,0,1,0,0,1,1
34,False,2,3,2,0,1,1,0,1,1
32,False,2,2,2,0,0,1,0,1,1
37,False,2,3,0,0,1,1,0,1,1
39,False,2,2,4,0,0,1,0,1,1
42,False,1,3,1,0,1,0,0,1,1
34,False,2,2,0,0,0,1,0,1,1
46,False,2,3,0,0,1,1,0,1,1
31,False,2,3,0,0,1,1,0,1,1
44,False,2,3,0,0,1,1,0,1,1
70,False,2,6,2,0,1,1,0,1,1
39,False,2,3,2,0,1,1,0,1,1
34,False,2,2,0,0,0,1,0,1,1
19,False,1,2,0,0,1,0,0,0,1
40,False,2,2,1,0,0,1,0,1,1
70,False,3,4,4,0,1,2,0,1,1
37,False,2,2,1,0,0,1,0,1,1
26,False,2,2,0,0,0,1,0,0,1
67,False,2,3,0,0,1,0,0,1,0
23,False,2,3,0,0,1,1,0,1,0
145,False,2,5,0,0,1,1,0,1,0
25,False,2,3,0,0,1,1,0,1,0
27,False,2,3,1,0,1,1,0,1,0
353,False,2,7,8,0,1,1,1,1,0
24,False,2,3,0,0,1,1,0,1,0
24,False,2,3,0,0,1,1,0,1,0
22,False,2,3,0,0,1,1,0,1,0
38,False,3,3,0,0,1,1,0,1,0
76,False,3,5,0,0,1,1,0,1,0
33,False,3,3,0,0,1,1,0,1,0
66,False,2,4,0,0,1,1,0,1,0
22,False,2,3,0,0,1,1,0,1,0
69,False,2,4,0,0,1,1,0,1,0
69,False,2,4,0,0,1,1,0,1,0
31,False,2,3,0,0,1,1,0,1,0
41,False,2,5,1,0,1,1,0,1,0
21,False,2,3,0,0,1,1,0,1,0
68,False,2,4,0,0,1,1,0,1,0
43,False,2,4,1,0,1,1,0,1,0
24,False,2,3,0,0,1,1,0,1,0
22,False,2,3,0,0,1,1,0,1,0
14,False,1,3,0,0,1,0,0,1,0
31,False,2,4,0,0,1,1,0,1,0
27,False,2,3,0,0,1,1,0,1,0
28,False,3,3,0,0,1,1,0,1,0
